unit,aloft,model
H,1.61,zip
E,2.91,zip
E,2.06,zip
H,3.2,zip
H,1.5,zip
E,2,zip
E,1.3,dart
H,6.05,dart
E,2.85,dart
H,2.33,dart
E,1.15,dart
H,1.6,dart
E,4.75,nml
H,1.35,nml
E,1.29,nml
H,1.95,nml
H,2.05,nml
E,3.01,nml
E,4.28,buzz
H,3.5,buzz
E,3.45,buzz
H,2.76,buzz
E,3.2,buzz
H,3.01,buzz
